# SIMULACION DE COLISIONES MULTIPLES
# Practica 5 - Informatica II
#
# Box: 800 x 600
# Tiempo: 24.19 s
# Particulas activas: 2/4
# Total colisiones: 25
#
# OBSTACULOS
obstaculo,0,200,150,80,80
obstaculo,1,520,150,80,80
obstaculo,2,200,370,80,80
obstaculo,3,520,370,80,80
#
# TRAYECTORIAS DE PARTICULAS
# Formato: trayectoria,tiempo,id,x,y,vx,vy,masa,activa
trayectoria,0,0,100,100,150,120,1,1
trayectoria,0,1,700,100,-180,140,1.5,1
trayectoria,0,2,100,500,160,-130,1.2,1
trayectoria,0,3,700,500,-170,-110,0.8,1
trayectoria,0,0,100,100,150,120,1,1
trayectoria,0,1,700,100,-180,140,1.5,1
trayectoria,0,2,100,500,160,-130,1.2,1
trayectoria,0,3,700,500,-170,-110,0.8,1
trayectoria,0.01,0,101.5,101.2,150,120,1,1
trayectoria,0.01,1,698.2,101.4,-180,140,1.5,1
trayectoria,0.01,2,101.6,498.7,160,-130,1.2,1
trayectoria,0.01,3,698.3,498.9,-170,-110,0.8,1
trayectoria,0.02,0,103,102.4,150,120,1,1
trayectoria,0.02,1,696.4,102.8,-180,140,1.5,1
trayectoria,0.02,2,103.2,497.4,160,-130,1.2,1
trayectoria,0.02,3,696.6,497.8,-170,-110,0.8,1
trayectoria,0.03,0,104.5,103.6,150,120,1,1
trayectoria,0.03,1,694.6,104.2,-180,140,1.5,1
trayectoria,0.03,2,104.8,496.1,160,-130,1.2,1
trayectoria,0.03,3,694.9,496.7,-170,-110,0.8,1
trayectoria,0.04,0,106,104.8,150,120,1,1
trayectoria,0.04,1,692.8,105.6,-180,140,1.5,1
trayectoria,0.04,2,106.4,494.8,160,-130,1.2,1
trayectoria,0.04,3,693.2,495.6,-170,-110,0.8,1
trayectoria,0.05,0,107.5,106,150,120,1,1
trayectoria,0.05,1,691,107,-180,140,1.5,1
trayectoria,0.05,2,108,493.5,160,-130,1.2,1
trayectoria,0.05,3,691.5,494.5,-170,-110,0.8,1
trayectoria,0.06,0,109,107.2,150,120,1,1
trayectoria,0.06,1,689.2,108.4,-180,140,1.5,1
trayectoria,0.06,2,109.6,492.2,160,-130,1.2,1
trayectoria,0.06,3,689.8,493.4,-170,-110,0.8,1
trayectoria,0.07,0,110.5,108.4,150,120,1,1
trayectoria,0.07,1,687.4,109.8,-180,140,1.5,1
trayectoria,0.07,2,111.2,490.9,160,-130,1.2,1
trayectoria,0.07,3,688.1,492.3,-170,-110,0.8,1
trayectoria,0.08,0,112,109.6,150,120,1,1
trayectoria,0.08,1,685.6,111.2,-180,140,1.5,1
trayectoria,0.08,2,112.8,489.6,160,-130,1.2,1
trayectoria,0.08,3,686.4,491.2,-170,-110,0.8,1
