# SIMULACION DE COLISIONES MULTIPLES
# Practica 5 - Informatica II
#
# Box: 800 x 600
# Tiempo: 5.81 s
# Particulas activas: 2/2
# Total colisiones: 4
#
# OBSTACULOS
obstaculo,0,300,250,200,100
#
# TRAYECTORIAS DE PARTICULAS
# Formato: trayectoria,tiempo,id,x,y,vx,vy,masa,activa
trayectoria,0,0,100,300,150,0,1,1
trayectoria,0,1,700,300,-150,0,1,1
trayectoria,0,0,100,300,150,0,1,1
trayectoria,0,1,700,300,-150,0,1,1
trayectoria,0.01,0,101.5,300,150,0,1,1
trayectoria,0.01,1,698.5,300,-150,0,1,1
trayectoria,0.02,0,103,300,150,0,1,1
trayectoria,0.02,1,697,300,-150,0,1,1
trayectoria,0.03,0,104.5,300,150,0,1,1
trayectoria,0.03,1,695.5,300,-150,0,1,1
trayectoria,0.04,0,106,300,150,0,1,1
trayectoria,0.04,1,694,300,-150,0,1,1
trayectoria,0.05,0,107.5,300,150,0,1,1
trayectoria,0.05,1,692.5,300,-150,0,1,1
trayectoria,0.06,0,109,300,150,0,1,1
trayectoria,0.06,1,691,300,-150,0,1,1
trayectoria,0.07,0,110.5,300,150,0,1,1
trayectoria,0.07,1,689.5,300,-150,0,1,1
trayectoria,0.08,0,112,300,150,0,1,1
trayectoria,0.08,1,688,300,-150,0,1,1
trayectoria,0.09,0,113.5,300,150,0,1,1
trayectoria,0.09,1,686.5,300,-150,0,1,1
trayectoria,0.1,0,115,300,150,0,1,1
trayectoria,0.1,1,685,300,-150,0,1,1
trayectoria,0.11,0,116.5,300,150,0,1,1
trayectoria,0.11,1,683.5,300,-150,0,1,1
trayectoria,0.12,0,118,300,150,0,1,1
trayectoria,0.12,1,682,300,-150,0,1,1
trayectoria,0.13,0,119.5,300,150,0,1,1
trayectoria,0.13,1,680.5,300,-150,0,1,1
trayectoria,0.14,0,121,300,150,0,1,1
trayectoria,0.14,1,679,300,-150,0,1,1
trayectoria,0.15,0,122.5,300,150,0,1,1
trayectoria,0.15,1,677.5,300,-150,0,1,1
trayectoria,0.16,0,124,300,150,0,1,1
trayectoria,0.16,1,676,300,-150,0,1,1
trayectoria,0.17,0,125.5,300,150,0,1,1
trayectoria,0.17,1,674.5,300,-150,0,1,1
trayectoria,0.18,0,127,300,150,0,1,1
trayectoria,0.18,1,673,300,-150,0,1,1
trayectoria,0.19,0,128.5,300,150,0,1,1
trayectoria,0.19,1,671.5,300,-150,0,1,1
trayectoria,0.2,0,130,300,150,0,1,1
trayectoria,0.2,1,670,300,-150,0,1,1
trayectoria,0.21,0,131.5,300,150,0,1,1
trayectoria,0.21,1,668.5,300,-150,0,1,1
trayectoria,0.22,0,133,300,150,0,1,1
trayectoria,0.22,1,667,300,-150,0,1,1
trayectoria,0.23,0,134.5,300,150,0,1,1
trayectoria,0.23,1,665.5,300,-150,0,1,1
trayectoria,0.24,0,136,300,150,0,1,1
trayectoria,0.24,1,664,300,-150,0,1,1
trayectoria,0.25,0,137.5,300,150,0,1,1
trayectoria,0.25,1,662.5,300,-150,0,1,1
trayectoria,0.26,0,139,300,150,0,1,1
trayectoria,0.26,1,661,300,-150,0,1,1
trayectoria,0.27,0,140.5,300,150,0,1,1
trayectoria,0.27,1,659.5,300,-150,0,1,1
trayectoria,0.28,0,142,300,150,0,1,1
trayectoria,0.28,1,658,300,-150,0,1,1
trayectoria,0.29,0,143.5,300,150,0,1,1
trayectoria,0.29,1,656.5,300,-150,0,1,1
trayectoria,0.3,0,145,300,150,0,1,1
trayectoria,0.3,1,655,300,-150,0,1,1
trayectoria,0.31,0,146.5,300,150,0,1,1
trayectoria,0.31,1,653.5,300,-150,0,1,1
trayectoria,0.32,0,148,300,150,0,1,1
trayectoria,0.32,1,652,300,-150,0,1,1
trayectoria,0.33,0,149.5,300,150,0,1,1
trayectoria,0.33,1,650.5,300,-150,0,1,1
trayectoria,0.34,0,151,300,150,0,1,1
trayectoria,0.34,1,649,300,-150,0,1,1
