# SIMULACION DE COLISIONES MULTIPLES
# Practica 5 - Informatica II
#
# Box: 800 x 600
# Tiempo: 22.87 s
# Particulas activas: 3/4
# Total colisiones: 11
#
# OBSTACULOS
#
# TRAYECTORIAS DE PARTICULAS
# Formato: trayectoria,tiempo,id,x,y,vx,vy,masa,activa
trayectoria,0,0,200,300,100,0,1,1
trayectoria,0,1,600,300,-100,0,1,1
trayectoria,0,2,300,150,50,100,0.8,1
trayectoria,0,3,500,450,-50,-100,0.8,1
trayectoria,0,0,200,300,100,0,1,1
trayectoria,0,1,600,300,-100,0,1,1
trayectoria,0,2,300,150,50,100,0.8,1
trayectoria,0,3,500,450,-50,-100,0.8,1
trayectoria,0.01,0,201,300,100,0,1,1
trayectoria,0.01,1,599,300,-100,0,1,1
trayectoria,0.01,2,300.5,151,50,100,0.8,1
trayectoria,0.01,3,499.5,449,-50,-100,0.8,1
trayectoria,0.02,0,202,300,100,0,1,1
trayectoria,0.02,1,598,300,-100,0,1,1
trayectoria,0.02,2,301,152,50,100,0.8,1
trayectoria,0.02,3,499,448,-50,-100,0.8,1
trayectoria,0.03,0,203,300,100,0,1,1
trayectoria,0.03,1,597,300,-100,0,1,1
trayectoria,0.03,2,301.5,153,50,100,0.8,1
trayectoria,0.03,3,498.5,447,-50,-100,0.8,1
trayectoria,0.04,0,204,300,100,0,1,1
trayectoria,0.04,1,596,300,-100,0,1,1
trayectoria,0.04,2,302,154,50,100,0.8,1
trayectoria,0.04,3,498,446,-50,-100,0.8,1
trayectoria,0.05,0,205,300,100,0,1,1
trayectoria,0.05,1,595,300,-100,0,1,1
trayectoria,0.05,2,302.5,155,50,100,0.8,1
trayectoria,0.05,3,497.5,445,-50,-100,0.8,1
trayectoria,0.06,0,206,300,100,0,1,1
trayectoria,0.06,1,594,300,-100,0,1,1
trayectoria,0.06,2,303,156,50,100,0.8,1
trayectoria,0.06,3,497,444,-50,-100,0.8,1
trayectoria,0.07,0,207,300,100,0,1,1
trayectoria,0.07,1,593,300,-100,0,1,1
trayectoria,0.07,2,303.5,157,50,100,0.8,1
trayectoria,0.07,3,496.5,443,-50,-100,0.8,1
trayectoria,0.08,0,208,300,100,0,1,1
trayectoria,0.08,1,592,300,-100,0,1,1
trayectoria,0.08,2,304,158,50,100,0.8,1
trayectoria,0.08,3,496,442,-50,-100,0.8,1
trayectoria,0.09,0,209,300,100,0,1,1
trayectoria,0.09,1,591,300,-100,0,1,1
trayectoria,0.09,2,304.5,159,50,100,0.8,1
trayectoria,0.09,3,495.5,441,-50,-100,0.8,1
trayectoria,0.1,0,210,300,100,0,1,1
trayectoria,0.1,1,590,300,-100,0,1,1
trayectoria,0.1,2,305,160,50,100,0.8,1
trayectoria,0.1,3,495,440,-50,-100,0.8,1
trayectoria,0.11,0,211,300,100,0,1,1
trayectoria,0.11,1,589,300,-100,0,1,1
trayectoria,0.11,2,305.5,161,50,100,0.8,1
trayectoria,0.11,3,494.5,439,-50,-100,0.8,1
trayectoria,0.12,0,212,300,100,0,1,1
trayectoria,0.12,1,588,300,-100,0,1,1
trayectoria,0.12,2,306,162,50,100,0.8,1
trayectoria,0.12,3,494,438,-50,-100,0.8,1
trayectoria,0.13,0,213,300,100,0,1,1
trayectoria,0.13,1,587,300,-100,0,1,1
trayectoria,0.13,2,306.5,163,50,100,0.8,1
trayectoria,0.13,3,493.5,437,-50,-100,0.8,1
trayectoria,0.14,0,214,300,100,0,1,1
trayectoria,0.14,1,586,300,-100,0,1,1
trayectoria,0.14,2,307,164,50,100,0.8,1
trayectoria,0.14,3,493,436,-50,-100,0.8,1
trayectoria,0.15,0,215,300,100,0,1,1
trayectoria,0.15,1,585,300,-100,0,1,1
trayectoria,0.15,2,307.5,165,50,100,0.8,1
trayectoria,0.15,3,492.5,435,-50,-100,0.8,1
trayectoria,0.16,0,216,300,100,0,1,1
trayectoria,0.16,1,584,300,-100,0,1,1
trayectoria,0.16,2,308,166,50,100,0.8,1
trayectoria,0.16,3,492,434,-50,-100,0.8,1
trayectoria,0.17,0,217,300,100,0,1,1
trayectoria,0.17,1,583,300,-100,0,1,1
trayectoria,0.17,2,308.5,167,50,100,0.8,1
trayectoria,0.17,3,491.5,433,-50,-100,0.8,1
trayectoria,0.18,0,218,300,100,0,1,1
trayectoria,0.18,1,582,300,-100,0,1,1
trayectoria,0.18,2,309,168,50,100,0.8,1
trayectoria,0.18,3,491,432,-50,-100,0.8,1
trayectoria,0.19,0,219,300,100,0,1,1
trayectoria,0.19,1,581,300,-100,0,1,1
trayectoria,0.19,2,309.5,169,50,100,0.8,1
trayectoria,0.19,3,490.5,431,-50,-100,0.8,1
trayectoria,0.2,0,220,300,100,0,1,1
